,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id
0,0.792,0.518,10,-9.63,0,0.0491,0.348,1.81e-05,0.103,0.526,100.004,audio_features,4P89bNZVTCmu3zT0IBNLS8,spotify:track:4P89bNZVTCmu3zT0IBNLS8,https://api.spotify.com/v1/tracks/4P89bNZVTCmu3zT0IBNLS8,https://api.spotify.com/v1/audio-analysis/4P89bNZVTCmu3zT0IBNLS8,215240,4,4P89bNZVTCmu3zT0IBNLS8
1,0.747,0.494,3,-7.957,0,0.141,0.393,0.0,0.0982,0.624,76.006,audio_features,2Ee9amLUslOwgoJWZEpSSD,spotify:track:2Ee9amLUslOwgoJWZEpSSD,https://api.spotify.com/v1/tracks/2Ee9amLUslOwgoJWZEpSSD,https://api.spotify.com/v1/audio-analysis/2Ee9amLUslOwgoJWZEpSSD,228453,4,2Ee9amLUslOwgoJWZEpSSD
2,0.649,0.618,9,-7.691,1,0.0779,0.0215,1.16e-06,0.0911,0.381,92.02,audio_features,1p9dxTMtG4gZpLp7yzvT54,spotify:track:1p9dxTMtG4gZpLp7yzvT54,https://api.spotify.com/v1/tracks/1p9dxTMtG4gZpLp7yzvT54,https://api.spotify.com/v1/audio-analysis/1p9dxTMtG4gZpLp7yzvT54,192613,4,1p9dxTMtG4gZpLp7yzvT54
3,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,audio_features,6AGOKlMZWLCaEJGnaROtF9,spotify:track:6AGOKlMZWLCaEJGnaROtF9,https://api.spotify.com/v1/tracks/6AGOKlMZWLCaEJGnaROtF9,https://api.spotify.com/v1/audio-analysis/6AGOKlMZWLCaEJGnaROtF9,210463,4,6AGOKlMZWLCaEJGnaROtF9
4,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,audio_features,7x4ASXYEKfQBCewcZhK776,spotify:track:7x4ASXYEKfQBCewcZhK776,https://api.spotify.com/v1/tracks/7x4ASXYEKfQBCewcZhK776,https://api.spotify.com/v1/audio-analysis/7x4ASXYEKfQBCewcZhK776,189653,4,7x4ASXYEKfQBCewcZhK776
5,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,audio_features,7szuecWAPwGoV1e5vGu8tl,spotify:track:7szuecWAPwGoV1e5vGu8tl,https://api.spotify.com/v1/tracks/7szuecWAPwGoV1e5vGu8tl,https://api.spotify.com/v1/audio-analysis/7szuecWAPwGoV1e5vGu8tl,237520,4,7szuecWAPwGoV1e5vGu8tl
6,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,47EiUVwUp4C9fGccaPuUCS,spotify:track:47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/tracks/47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/audio-analysis/47EiUVwUp4C9fGccaPuUCS,205090,4,47EiUVwUp4C9fGccaPuUCS
7,0.776,0.74,4,-4.599,0,0.0326,0.0128,1.22e-06,0.0725,0.976,120.0,audio_features,5n9o0Z4Is58SMhpX3WWTLi,spotify:track:5n9o0Z4Is58SMhpX3WWTLi,https://api.spotify.com/v1/tracks/5n9o0Z4Is58SMhpX3WWTLi,https://api.spotify.com/v1/audio-analysis/5n9o0Z4Is58SMhpX3WWTLi,223853,4,5n9o0Z4Is58SMhpX3WWTLi
8,0.732,0.577,6,-11.007,0,0.0424,0.396,0.621,0.366,0.106,109.965,audio_features,3qsMWrhTbsiTQVykS3AeO5,spotify:track:3qsMWrhTbsiTQVykS3AeO5,https://api.spotify.com/v1/tracks/3qsMWrhTbsiTQVykS3AeO5,https://api.spotify.com/v1/audio-analysis/3qsMWrhTbsiTQVykS3AeO5,175587,4,3qsMWrhTbsiTQVykS3AeO5
9,0.826,0.365,1,-7.024,1,0.0412,0.849,3.8e-06,0.186,0.802,85.244,audio_features,4zMmqb0pYwX6b0qc0slCoT,spotify:track:4zMmqb0pYwX6b0qc0slCoT,https://api.spotify.com/v1/tracks/4zMmqb0pYwX6b0qc0slCoT,https://api.spotify.com/v1/audio-analysis/4zMmqb0pYwX6b0qc0slCoT,239324,4,4zMmqb0pYwX6b0qc0slCoT
10,0.463,0.672,8,-6.071,0,0.0498,0.728,0.743,0.0993,0.522,74.916,audio_features,4MOCTiC5mMrJuhLFSNjiIM,spotify:track:4MOCTiC5mMrJuhLFSNjiIM,https://api.spotify.com/v1/tracks/4MOCTiC5mMrJuhLFSNjiIM,https://api.spotify.com/v1/audio-analysis/4MOCTiC5mMrJuhLFSNjiIM,338000,4,4MOCTiC5mMrJuhLFSNjiIM
11,0.711,0.566,8,-6.662,0,0.0415,0.119,0.0,0.0867,0.309,81.024,audio_features,75cpASksL0l3Wf5Yf00EZX,spotify:track:75cpASksL0l3Wf5Yf00EZX,https://api.spotify.com/v1/tracks/75cpASksL0l3Wf5Yf00EZX,https://api.spotify.com/v1/audio-analysis/75cpASksL0l3Wf5Yf00EZX,184693,4,75cpASksL0l3Wf5Yf00EZX
